year,state,state_po,county,FIPS,candidate,party,candidatevotes,0
2016,West Virginia,WV,Jackson,54035,Hillary Clinton,democrat,2663,226
2016,West Virginia,WV,Jackson,54035,Other,NA,504,
2016,West Virginia,WV,Jefferson,54037,Donald Trump,republican,13204,227
2016,West Virginia,WV,Jefferson,54037,Hillary Clinton,democrat,9518,228
2016,West Virginia,WV,Jefferson,54037,Other,NA,1425,
2016,West Virginia,WV,Kanawha,54039,Donald Trump,republican,43850,229
2016,West Virginia,WV,Kanawha,54039,Hillary Clinton,democrat,28263,230
2016,West Virginia,WV,Kanawha,54039,Other,NA,3577,
2016,West Virginia,WV,Lewis,54041,Donald Trump,republican,5274,231
2016,West Virginia,WV,Lewis,54041,Hillary Clinton,democrat,1347,232
2016,West Virginia,WV,Lewis,54041,Other,NA,307,
2016,West Virginia,WV,Lincoln,54043,Donald Trump,republican,5307,233
2016,West Virginia,WV,Lincoln,54043,Hillary Clinton,democrat,1459,234
2016,West Virginia,WV,Lincoln,54043,Other,NA,300,
2016,West Virginia,WV,Logan,54045,Donald Trump,republican,9897,235
2016,West Virginia,WV,Logan,54045,Hillary Clinton,democrat,2092,236
2016,West Virginia,WV,Logan,54045,Other,NA,370,
2016,West Virginia,WV,Marion,54049,Donald Trump,republican,14668,237
2016,West Virginia,WV,Marion,54049,Hillary Clinton,democrat,6964,238
2016,West Virginia,WV,Marion,54049,Other,NA,1397,
2016,West Virginia,WV,Marshall,54051,Donald Trump,republican,9666,239
2016,West Virginia,WV,Marshall,54051,Hillary Clinton,democrat,2918,240
2016,West Virginia,WV,Marshall,54051,Other,NA,632,
2016,West Virginia,WV,Mason,54053,Donald Trump,republican,7654,241
2016,West Virginia,WV,Mason,54053,Hillary Clinton,democrat,2081,242
2016,West Virginia,WV,Mason,54053,Other,NA,451,
2016,West Virginia,WV,McDowell,54047,Donald Trump,republican,4629,243
2016,West Virginia,WV,McDowell,54047,Hillary Clinton,democrat,1438,244
