STATE_NAME,STUSPS,COUNTY_NAME,FIPS,PARTY
Texas,TX,Waller,48473,republican
Texas,TX,Ward,48475,republican
Texas,TX,Washington,48477,republican
Texas,TX,Webb,48479,democrat
Texas,TX,Wharton,48481,republican
Texas,TX,Wheeler,48483,republican
Texas,TX,Wichita,48485,republican
Texas,TX,Wilbarger,48487,republican
Texas,TX,Willacy,48489,democrat
Texas,TX,Williamson,48491,republican
Texas,TX,Wilson,48493,republican
Texas,TX,Winkler,48495,republican
Texas,TX,Wise,48497,republican
Texas,TX,Wood,48499,republican
Texas,TX,Yoakum,48501,republican
Texas,TX,Young,48503,republican
Texas,TX,Zapata,48505,democrat
Texas,TX,Zavala,48507,democrat
Tennessee,TN,Anderson,47001,republican
Tennessee,TN,Bedford,47003,republican
Tennessee,TN,Benton,47005,republican
Tennessee,TN,Bledsoe,47007,republican
Tennessee,TN,Blount,47009,republican
Tennessee,TN,Bradley,47011,republican
Tennessee,TN,Campbell,47013,republican
Tennessee,TN,Cannon,47015,republican
Tennessee,TN,Carroll,47017,republican
Tennessee,TN,Carter,47019,republican
Tennessee,TN,Cheatham,47021,republican
Tennessee,TN,Chester,47023,republican
Tennessee,TN,Claiborne,47025,republican
Tennessee,TN,Clay,47027,republican
Tennessee,TN,Cocke,47029,republican
Tennessee,TN,Coffee,47031,republican
Tennessee,TN,Crockett,47033,republican
Tennessee,TN,Cumberland,47035,republican
Tennessee,TN,Davidson,47037,democrat
Tennessee,TN,Decatur,47039,republican
Tennessee,TN,DeKalb,47041,republican
Tennessee,TN,Dickson,47043,republican
Tennessee,TN,Dyer,47045,republican
Tennessee,TN,Fayette,47047,republican
Tennessee,TN,Fentress,47049,republican
Tennessee,TN,Franklin,47051,republican
Tennessee,TN,Gibson,47053,republican
Tennessee,TN,Giles,47055,republican
Tennessee,TN,Grainger,47057,republican
Tennessee,TN,Greene,47059,republican
Tennessee,TN,Grundy,47061,republican
Tennessee,TN,Hamblen,47063,republican
Tennessee,TN,Hamilton,47065,republican
Tennessee,TN,Hancock,47067,republican
Tennessee,TN,Hardeman,47069,republican
Tennessee,TN,Hardin,47071,republican
Tennessee,TN,Hawkins,47073,republican
Tennessee,TN,Haywood,47075,democrat
Tennessee,TN,Henderson,47077,republican
Tennessee,TN,Henry,47079,republican
Tennessee,TN,Hickman,47081,republican
Tennessee,TN,Houston,47083,republican
Tennessee,TN,Humphreys,47085,republican
Tennessee,TN,Jackson,47087,republican
Tennessee,TN,Jefferson,47089,republican
Tennessee,TN,Johnson,47091,republican
Tennessee,TN,Knox,47093,republican
Tennessee,TN,Lake,47095,republican
Tennessee,TN,Lauderdale,47097,republican
Tennessee,TN,Lawrence,47099,republican
Tennessee,TN,Lewis,47101,republican
Tennessee,TN,Lincoln,47103,republican
Tennessee,TN,Loudon,47105,republican
Tennessee,TN,Macon,47111,republican
Tennessee,TN,Madison,47113,republican
Tennessee,TN,Marion,47115,republican
Tennessee,TN,Marshall,47117,republican
Tennessee,TN,Maury,47119,republican
Tennessee,TN,McMinn,47107,republican
Tennessee,TN,McNairy,47109,republican
Tennessee,TN,Meigs,47121,republican
Tennessee,TN,Monroe,47123,republican
Tennessee,TN,Montgomery,47125,republican
Tennessee,TN,Moore,47127,republican
Tennessee,TN,Morgan,47129,republican
Tennessee,TN,Obion,47131,republican
Tennessee,TN,Overton,47133,republican
Tennessee,TN,Perry,47135,republican
Tennessee,TN,Pickett,47137,republican
Tennessee,TN,Polk,47139,republican
Tennessee,TN,Putnam,47141,republican
Tennessee,TN,Rhea,47143,republican
Tennessee,TN,Roane,47145,republican
Tennessee,TN,Robertson,47147,republican
Tennessee,TN,Rutherford,47149,republican
Tennessee,TN,Scott,47151,republican
Tennessee,TN,Sequatchie,47153,republican
Tennessee,TN,Sevier,47155,republican
Tennessee,TN,Shelby,47157,democrat
Tennessee,TN,Smith,47159,republican
Tennessee,TN,Stewart,47161,republican
Tennessee,TN,Sullivan,47163,republican
Tennessee,TN,Sumner,47165,republican
Tennessee,TN,Tipton,47167,republican
Tennessee,TN,Trousdale,47169,republican
Tennessee,TN,Unicoi,47171,republican
Tennessee,TN,Union,47173,republican
Tennessee,TN,Van Buren,47175,republican
Tennessee,TN,Warren,47177,republican
Tennessee,TN,Washington,47179,republican
Tennessee,TN,Wayne,47181,republican
Tennessee,TN,Weakley,47183,republican
Tennessee,TN,White,47185,republican
Tennessee,TN,Williamson,47187,republican
Tennessee,TN,Wilson,47189,republican
South Dakota,SD,Aurora,46003,republican
